,NodeID,Repository,About_Topics,OwnerName,OwnerType,StarsNorm,ForkNorm,WatcherNorm
720,721,HyperGAN,"Composable GAN framework with api and user interface || gan,unsupervised-learning,generative-adversarial-network,artificial-intelligence,machine-learning,machine-learning-api,python,online-learning,computer-vision,pytorch,sponsors,hypergan",HyperGAN,Organization,0.371101057613996,0.399527224327457,0.353257120898295
722,723,clDNN,"Compute Library for Deep Neural Networks (clDNN) || deep-neural-networks,deep-learning,intel,intel-hd-graphics,cldnn",Intel,Organization,0.332795063645304,0.391174915686588,0.394510374937764
724,725,TorchCraft,"Connecting Torch to StarCraft || starcraft,torchcraft,bwapi,torch,reinforcement-learning,deep-learning,machine-learning",TorchCraft,Organization,0.385317322976336,0.405703001011898,0.425305315959989
725,726,ncappzoo,"Contains examples for the Movidius Neural Compute Stick. || ai,usb-accelerator,intel-movidius-ncs,openvino,opencv,python,cpp",Intel,Organization,0.356863025481106,0.432878568557343,0.451329344981785
728,729,course-content,"Content for NMA Computational Neuroscience course || neuroscience,machine-learning,dynamic-systems,stochastic-processes",NeuromatchAcademy,Organization,0.410729438760849,0.477951604938673,0.42401165116642
729,730,machine-learning,Content for Udacity's Machine Learning curriculum || ,udacity,Organization,0.535888506810619,0.987436492412243,0.812741937758574
735,736,image-quality-assessment,"Convolutional Neural Networks to predict the aesthetic and technical quality of images. || nima,neural-network,tensorflow,keras,mobilenet,aws,image-quality-assessment,convolutional-neural-networks,deep-learning,computer-vision,machine-learning,e-commerce,idealo",Idealo,Organization,0.386921725520219,0.42773473561426,0.364361202902065
739,740,kinetics-i3d,Convolutional neural network model for video classification trained on the Kinetics dataset. || ,Alphabet,Organization,0.390941138810025,0.44126122610124,0.378088185069213
743,744,awesome-machine-learning-on-source-code,"Cool links & research papers related to Machine Learning applied to source code (MLonCode) || awesome-list,awesome,machine-learning,machine-learning-on-source-code",source{d},Organization,0.653383973413723,0.499325247327884,0.736896795298133
745,746,coremltools,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation. || coremltools,tensorflow,pytorch,hacktoberfest,coreml,onnx,machine-learning,model-converter,model-conversion",Apple,Organization,0.447488213995308,0.431430676428677,0.440888148932698
747,748,makegirlsmoe_web,"Create Anime Characters with MakeGirlsMoe || deep-learning,generative-adversarial-network,anime,reactjs,react,gan",makegirlsmoe,Organization,0.501221473010438,0.419242624562483,0.443494888400606
748,749,pandas-profiling,"Create HTML profiling reports from pandas DataFrame objects || pandas-profiling,pandas-dataframe,statistics,jupyter-notebook,exploration,data-science,python,pandas,machine-learning,artificial-intelligence,deep-learning,exploratory-data-analysis,eda,data-quality,html-report,data-exploration,data-analysis,jupyter,big-data-analytics,data-profiling",Pandas-profiling,Organization,0.781927507141514,0.553847217019949,0.482826699356719
